id_venda;id_cliente;tipo;data_venda;valor_unitario;valor_subtotal;valor_total;valor_nota;valor_desconto;descricao_desconto;status;cancelado;processada;nome_colaborador;descricao;id_nota_venda
68873856;6459802;ATENDIMENTO;20260228;60.00;60.00;60.00;60.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado Com Henna;
66830981;6459802;ATENDIMENTO;20260131;60.00;60.00;60.00;60.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado Com Henna;
63153423;6459802;ATENDIMENTO;20251212;60.00;60.00;60.00;60.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado Com Coloração;
69220373;6460726;ATENDIMENTO;20260303;60.00;60.00;60.00;60.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado Com Coloração;
68994941;6460726;ATENDIMENTO;20260228;60.00;60.00;60.00;60.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado Com Coloração;
67966370;6460726;ATENDIMENTO;20260213;60.00;60.00;60.00;60.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado Com Coloração;
65742460;6460726;ATENDIMENTO;20260121;60.00;60.00;60.00;60.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado Com Coloração;
64694822;6460726;ATENDIMENTO;20251227;60.00;60.00;60.00;60.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado Com Coloração;
63359545;6460726;ATENDIMENTO;20251210;80.00;80.00;80.00;80.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Com Coloração/Henna Buço;
62811932;6460726;ATENDIMENTO;20251204;60.00;60.00;60.00;60.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado Com Coloração;
71795078;6460982;ATENDIMENTO;20260507;60.00;60.00;60.00;60.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado Com Henna;
71439705;6460982;ATENDIMENTO;20260410;104.00;104.00;104.00;104.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Com Coloração/Henna Buço;
62235885;6460982;ATENDIMENTO;20251217;60.00;60.00;60.00;60.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado Com Coloração;
63355213;6461005;ATENDIMENTO;20251206;45.00;45.00;45.00;45.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado;
63355192;6461005;ATENDIMENTO;20251206;45.00;45.00;45.00;45.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado;
73277894;6461245;ATENDIMENTO;20260522;60.00;60.00;60.00;60.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado Com Coloração;
71440685;6461245;ATENDIMENTO;20260428;60.00;60.00;60.00;60.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado Com Coloração;
69380463;6461245;ATENDIMENTO;20260327;60.00;60.00;60.00;60.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado Com Coloração;
68507022;6461245;ATENDIMENTO;20260305;60.00;60.00;60.00;60.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado Com Coloração;
65841741;6461245;ATENDIMENTO;20260207;60.00;60.00;60.00;60.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado Com Coloração;
64140605;6461245;ATENDIMENTO;20260113;60.00;60.00;60.00;60.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado Com Henna;
63667618;6461245;ATENDIMENTO;20251217;80.00;80.00;80.00;80.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Com Coloração/Henna Buço;
61304386;6461245;ATENDIMENTO;20251121;60.00;60.00;60.00;60.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado Com Henna;
68128614;6461812;ATENDIMENTO;20260219;60.00;60.00;60.00;60.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado Com Henna;
73347089;6461851;ATENDIMENTO;20260507;81.00;81.00;81.00;81.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado Buço Queixo;
72301645;6461851;ATENDIMENTO;20260425;81.00;81.00;81.00;81.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado Buço Queixo;
71118587;6461851;ATENDIMENTO;20260404;81.00;81.00;81.00;81.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado Buço Queixo;
69920801;6461851;ATENDIMENTO;20260313;65.00;65.00;65.00;65.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado Buço;
68738705;6461851;ATENDIMENTO;20260228;81.00;81.00;81.00;81.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado Buço Queixo;
67352053;6461851;ATENDIMENTO;20260206;65.00;65.00;65.00;65.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado Buço;
65842273;6461851;ATENDIMENTO;20260117;81.00;81.00;81.00;81.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado Buço Queixo;
63730236;6461851;ATENDIMENTO;20251224;81.00;81.00;81.00;81.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado Buço Queixo;
62593677;6461851;ATENDIMENTO;20251210;65.00;65.00;65.00;65.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado Buço;
62138317;6461851;ATENDIMENTO;20251126;81.00;81.00;81.00;81.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado Buço Queixo;
73280794;6463130;ATENDIMENTO;20260508;60.00;60.00;60.00;60.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado Com Henna;
69474382;6463130;ATENDIMENTO;20260306;60.00;60.00;60.00;60.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado Com Henna;
68012688;6463130;ATENDIMENTO;20260212;60.00;60.00;60.00;60.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado Com Henna;
66048445;6463130;ATENDIMENTO;20260116;60.00;60.00;60.00;60.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado Com Henna;
64738220;6463130;ATENDIMENTO;20251229;60.00;60.00;60.00;60.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado Com Henna;
62238547;6463130;ATENDIMENTO;20251121;60.00;60.00;60.00;60.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado Com Henna;
71359257;6465622;ATENDIMENTO;20260430;45.00;45.00;45.00;45.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado;
71201519;6465622;ATENDIMENTO;20260404;45.00;45.00;45.00;45.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado;
69698078;6465622;ATENDIMENTO;20260310;45.00;45.00;45.00;45.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado;
66595955;6465622;ATENDIMENTO;20260212;45.00;45.00;45.00;45.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado;
66103440;6465622;ATENDIMENTO;20260123;45.00;45.00;45.00;45.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado;
62317940;6465622;ATENDIMENTO;20251219;67.50;67.50;67.50;67.50;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado;
72994090;6467742;ATENDIMENTO;20260506;45.00;45.00;45.00;45.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado;
71439221;6467742;ATENDIMENTO;20260408;45.00;45.00;45.00;45.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado;
70035310;6467742;ATENDIMENTO;20260316;45.00;45.00;45.00;45.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado;
68402187;6467742;ATENDIMENTO;20260219;45.00;45.00;45.00;45.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado;
64432455;6467742;ATENDIMENTO;20260116;45.00;45.00;45.00;45.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado;
62794609;6467742;ATENDIMENTO;20251220;45.00;45.00;45.00;45.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado;
73010304;6586905;ATENDIMENTO;20260430;60.00;60.00;60.00;60.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado Com Henna;
71111863;6586905;ATENDIMENTO;20260404;60.00;60.00;60.00;60.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado Com Henna;
68762628;6586905;ATENDIMENTO;20260225;60.00;60.00;60.00;60.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado Com Henna;
72937459;6587048;ATENDIMENTO;20260430;60.00;60.00;60.00;60.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado Com Coloração;
69952528;6587048;ATENDIMENTO;20260314;60.00;60.00;60.00;60.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado Com Coloração;
67808480;6587048;ATENDIMENTO;20260212;60.00;60.00;60.00;60.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado Com Coloração;
62229748;6587048;ATENDIMENTO;20251220;60.00;60.00;60.00;60.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado Com Coloração;
62853292;6587048;ATENDIMENTO;20251129;60.00;60.00;60.00;60.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado Com Coloração;
70081740;6592005;ATENDIMENTO;20260320;80.00;80.00;80.00;80.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Com Coloração/Henna Buço;
64737905;6592005;ATENDIMENTO;20251227;155.00;155.00;155.00;155.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Brow Lamination Buço;
72974467;6593550;ATENDIMENTO;20260430;60.00;60.00;60.00;60.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado Com Coloração;
70651804;6593550;ATENDIMENTO;20260326;60.00;60.00;60.00;60.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado Com Coloração;
66074216;6593550;ATENDIMENTO;20260213;60.00;60.00;60.00;60.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado Com Henna;
62240330;6593550;ATENDIMENTO;20260116;60.00;60.00;60.00;60.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado Com Coloração;
62240316;6593550;ATENDIMENTO;20251212;60.00;60.00;60.00;60.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado Com Coloração;
68267612;6593712;ATENDIMENTO;20260221;146.00;146.00;146.00;146.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Persornalizado Rosto Todo Pescoço;
66191661;6593712;ATENDIMENTO;20260117;146.00;146.00;146.00;146.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Persornalizado Rosto Todo Pescoço;
62604109;6593712;ATENDIMENTO;20251221;146.00;146.00;146.00;146.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Persornalizado Rosto Todo Pescoço;
72009647;6594106;ATENDIMENTO;20260417;60.00;60.00;60.00;60.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado Com Coloração;
69172023;6594106;ATENDIMENTO;20260304;60.00;60.00;60.00;60.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado Com Henna;
67338135;6594106;ATENDIMENTO;20260204;60.00;60.00;60.00;60.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado Com Coloração;
63280844;6594106;ATENDIMENTO;20251218;60.00;60.00;60.00;60.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado Com Henna;
62096582;6594106;ATENDIMENTO;20251126;60.00;60.00;60.00;60.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado Com Coloração;
73646835;6594145;ATENDIMENTO;20260514;45.00;45.00;45.00;45.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado;
73646802;6594145;ATENDIMENTO;20260514;45.00;45.00;45.00;45.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado;
72392845;6594145;ATENDIMENTO;20260424;45.00;45.00;45.00;45.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado;
72392832;6594145;ATENDIMENTO;20260424;45.00;45.00;45.00;45.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado;
68798842;6594145;ATENDIMENTO;20260321;45.00;45.00;45.00;45.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado;
68798475;6594145;ATENDIMENTO;20260321;45.00;45.00;45.00;45.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado;
68385408;6594145;ATENDIMENTO;20260225;45.00;45.00;45.00;45.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado;
68385380;6594145;ATENDIMENTO;20260225;45.00;45.00;45.00;45.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado;
66108941;6594145;ATENDIMENTO;20260120;45.00;45.00;45.00;45.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado;
66108924;6594145;ATENDIMENTO;20260120;45.00;45.00;45.00;45.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado;
62239676;6594145;ATENDIMENTO;20251223;45.00;45.00;45.00;45.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado;
62239662;6594145;ATENDIMENTO;20251223;45.00;45.00;45.00;45.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado;
61192108;6596168;ATENDIMENTO;20251128;45.00;45.00;45.00;45.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado;
73281582;6599094;ATENDIMENTO;20260506;60.00;60.00;60.00;60.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado Com Henna;
68275725;6599094;ATENDIMENTO;20260321;60.00;60.00;60.00;60.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado Com Henna;
68954283;6599094;ATENDIMENTO;20260228;60.00;60.00;60.00;60.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado Com Henna;
62508177;6599094;ATENDIMENTO;20251220;60.00;60.00;60.00;60.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado Com Coloração;
73572340;6599137;ATENDIMENTO;20260619;45.00;45.00;45.00;45.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado;
73568800;6599137;ATENDIMENTO;20260515;65.00;65.00;65.00;65.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado Buço;
72994730;6599137;ATENDIMENTO;20260508;45.00;45.00;45.00;45.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado;
70717635;6599137;ATENDIMENTO;20260401;60.00;60.00;60.00;60.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado Com Henna;
69954557;6599137;ATENDIMENTO;20260401;65.00;65.00;65.00;65.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado Buço;
69954422;6599137;ATENDIMENTO;20260401;60.00;60.00;60.00;60.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado Com Coloração;
68963834;6599137;ATENDIMENTO;20260313;45.00;45.00;45.00;45.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado;
67807877;6599137;ATENDIMENTO;20260210;45.00;45.00;45.00;45.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado;
65743198;6599137;ATENDIMENTO;20260122;45.00;45.00;45.00;45.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado;
62241134;6599137;ATENDIMENTO;20251223;81.00;81.00;81.00;81.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado Buço Queixo;
62241103;6599137;ATENDIMENTO;20251223;45.00;45.00;45.00;45.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado;
73054490;6599413;ATENDIMENTO;20260502;45.00;45.00;45.00;45.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado;
71600826;6599413;ATENDIMENTO;20260409;45.00;45.00;45.00;45.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado;
69721792;6599413;ATENDIMENTO;20260311;45.00;45.00;45.00;45.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado;
66607836;6599413;ATENDIMENTO;20260212;45.00;45.00;45.00;45.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado;
66530616;6599413;ATENDIMENTO;20260123;45.00;45.00;45.00;45.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado;
62237817;6599413;ATENDIMENTO;20251219;45.00;45.00;45.00;45.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado;
71689862;6599482;ATENDIMENTO;20260506;80.00;80.00;80.00;80.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Com Coloração/Henna Buço;
69720406;6599482;ATENDIMENTO;20260409;60.00;60.00;60.00;60.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado Com Coloração;
67929055;6599482;ATENDIMENTO;20260310;60.00;60.00;60.00;60.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado Com Coloração;
66026158;6599482;ATENDIMENTO;20260211;60.00;60.00;60.00;60.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado Com Coloração;
64358312;6599482;ATENDIMENTO;20260115;60.00;60.00;60.00;60.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado Com Coloração;
62535248;6599482;ATENDIMENTO;20251219;90.00;90.00;90.00;90.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado Com Coloração;
60576269;6599482;ATENDIMENTO;20251125;60.00;60.00;60.00;60.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado Com Henna;
71690060;6599522;ATENDIMENTO;20260506;81.00;81.00;81.00;81.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado Buço Queixo;
69720655;6599522;ATENDIMENTO;20260409;81.00;81.00;81.00;81.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado Buço Queixo;
67929229;6599522;ATENDIMENTO;20260310;81.00;81.00;81.00;81.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado Buço Queixo;
66027259;6599522;ATENDIMENTO;20260211;81.00;81.00;81.00;81.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado Buço Queixo;
64358407;6599522;ATENDIMENTO;20260115;81.00;81.00;81.00;81.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado Buço Queixo;
62535287;6599522;ATENDIMENTO;20251219;121.50;121.50;121.50;121.50;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado Buço Queixo;
60576998;6599522;ATENDIMENTO;20251125;81.00;81.00;81.00;81.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado Buço Queixo;
72009989;6601185;ATENDIMENTO;20260520;60.00;60.00;60.00;60.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado Com Henna;
72007979;6601185;ATENDIMENTO;20260508;60.00;60.00;60.00;60.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado Com Henna;
72007928;6601185;ATENDIMENTO;20260417;60.00;60.00;60.00;60.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado Com Henna;
70922108;6601185;ATENDIMENTO;20260401;60.00;60.00;60.00;60.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado Com Henna;
70385670;6601185;ATENDIMENTO;20260328;60.00;60.00;60.00;60.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado Com Henna;
69173838;6601185;ATENDIMENTO;20260314;80.00;80.00;80.00;80.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Com Coloração/Henna Buço;
72850711;6602567;ATENDIMENTO;20260429;45.00;45.00;45.00;45.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado;
70098593;6602567;ATENDIMENTO;20260316;45.00;45.00;45.00;45.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado;
67614773;6602567;ATENDIMENTO;20260206;45.00;45.00;45.00;45.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado;
63103584;6602567;ATENDIMENTO;20251230;45.00;45.00;45.00;45.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado;
60790036;6602567;ATENDIMENTO;20251128;45.00;45.00;45.00;45.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado;
73357493;6605159;ATENDIMENTO;20260507;110.00;110.00;110.00;110.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;ADMIRAÇÃO;
70407266;6605159;ATENDIMENTO;20260328;60.00;60.00;60.00;60.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado Com Coloração;
